nombre,precio,artista,lugar,nota,n_opiniones,duracion
Mangos y Papayas: Javi Bueno & Iván Perlaza,9€,Javi Bueno; Iván Perlará,MadBeerHall,9.8,37.0,"Duración
70 min / Castellano"
"Malasañero para principantes, de Manu Kas",10€,Manu Kas,Teatro de las Aguas,8.8,151.0,"Duración
50 minutos"
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,8€,Richard Salamanca,Beer Station - Sala 1,9.4,49.0,"Duración
80"
Super Duper. Mario Velasco,10€,Mario Velasco,Teatro de las Aguas,9.4,30.0,"Duración
1 hora"
Sparks- El show de humor negro - Silvia Sparks,12€,,Beer Station - Sala 1,9.4,62.0,"Duración
70 minutos"
Open Open Mic. El micro abierto más abierto.,3€,"Patricia Muñoz, Fer Bleda",El Golfo Comedy Club,9.3,79.0,"Duración
70 munutos"
Paula Púa.- Traca. Un monólogo de una hija única.,11€,Paula Púa,El Golfo Comedy Club,9.5,19.0,"Duración
70 minutos"
Vermut Rojo Open Mic,3€,"Javi Delpe, El Remate Producciones",Tropicana Beach Club Madrid,9.4,78.0,"Duración
50 minutos"
Ladys Night en Beer Station,11€,Nayra Pérez,Beer Station - Sala 1,9.4,89.0,"Duración
70 minutos"
No Disparen al Cómico - Manu Chacón,10€,Manu Chacón,Abonavida,9.8,201.0,"Duración
70 minutos"
"Femininity, un show de Patri Muñoz",11€,Patri Muñoz,El Golfo Comedy Club,9.2,37.0,"Duración
70 minutos"
Diego Daño. Viviendo para Instagram,11€,"Diego Daño, El Golfo Comedy Club",El Golfo Comedy Club,9.1,295.0,"Duración
70 minutos"
Juan Moreno presenta ¡Embustero!,10€,,MadBeerHall,9.4,43.0,"Duración
70 min / Castellano"
Kalderas - Stand Up Comedy,11€,Kalderas,Beer Station - Sala 1,9.3,60.0,"Duración
60"
Open Magic,8€,Jaime Figueroa e invitados,La Cripta Mágica,9.6,47.0,"Duración
90 minutos"
Alberto Sierra. De profesión: gafas.,11€,Alberto Sierra,El Golfo Comedy Club,9.4,15.0,"Duración
70 minutos"
Teatro y monologos. Viernes llenos de arte.,10€,Teatro Rey de Pikas,Teatro Rey de Pikas,9.7,246.0,"Duración
40-60 minutos"
Sinacio presenta Toca Reír,12€,Sinacio,Beer Station - Sala 1,9.0,12.0,"Duración
90 minutos"
Vero Berenguer y Sandra U.- Enfermizas,11€,"El Golfo Comedy Club, Sandra U, Vero Berenguer",El Golfo Comedy Club,9.2,16.0,"Duración
70 minutos"
Lgtb Comedy Jam,5€,,Intruso Bar,9.4,155.0,"Duración
1h 30 min"
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,8€,"Bianca Kovacs, Carmen Romero",Beer Station - Sala 1,9.3,23.0,"Duración
70 minutos"
Malhablado - Un show de Raúl Fervé,10€,Raúl Fervé,Beer Station - Sala 1,9.2,29.0,"Duración
70 min"
"Nacho García: Estoy mayor, en Madrid",10€,Nacho García,Cine Palacio de la Prensa - Sala 3,9.1,1138.0,"Duración
80 minutos"
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,12€,Jorge Santos,Teatro Bellas Artes,9.5,214.0,"Duración
80 min / Castellano"
Los 30 son los nuevos ... ¡Vete a la mierda! - Jorge Santos,10€,Jorge Santos,Sala Galileo Galilei,9.5,203.0,"Duración
75 minutos"
