nombre_show,tipo_show,precio,duracion,artista,local,nota_atrapalo,numero_opiniones
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,show,12.0,70.0,"Fer Bleda, Carles Cuevas",El Golfo Comedy Club,9.6,31
Poco se habla de Sexo - Madrid,show,8.0,70.0,"Jorge Santos, Adrián Serna",El Sombrerero Comedy Club,9.9,21
"No soy yo, eres tú David Carrascosa",show,10.0,65.0,David Carrascosa,Collage Burlesque,9.9,170
Diego Arjona - Me veo en Wallapop,show,12.0,60.0,Diego Arjona,Sala Houdini,10.0,23
Arde Murcia,show,10.0,60.0,Pedro Ángel Roca,Clandestino Café Teatro,9.9,35
Arde Murcia,show,10.0,60.0,Pedro Ángel Roca,Clandestino Café Teatro,9.9,35
Albert Boira.- Que nos pille viviendo,show,12.0,70.0,Albert Boira,El Golfo Comedy Club,9.5,28
Fango - Rober Bodegas,show,18.0,,Rober Bodegas,Pequeño Teatro Gran Vía de Madrid,9.5,355
"Borderline, Nico Lozano",show,10.0,60.0,Nico Lozano,Teatro de las Aguas,9.1,50
Mangos y Papayas: Javi Bueno & Iván Perlaza,show,9.0,70.0,Javi Bueno; Iván Perlará,MadBeerHall,9.8,37
"Malasañero para principantes, de Manu Kas",show,10.0,50.0,Manu Kas,Teatro de las Aguas,8.8,151
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,open_mic,8.0,80.0,Richard Salamanca,Beer Station,9.4,49
Super Duper. Mario Velasco,show,10.0,60.0,Mario Velasco,Teatro de las Aguas,9.4,30
