nombre_show,artistas_limpio
Miki Dkai: Personal Trainer,Miki Dkai
Nacho García en El Golfo Comedy Club,Nacho García
Gente bien,"carlos moreno, angel de los rios"
Alex Clavero y Karim - Noche de Monólogos,"Alex Clavero, Karim"
Lo positivo de fracasar en el amor,Pablo Piñeiro
Transplantar,pep noguera
Mi gran noche griega. Dzimis Tsapas. The Greek Dzinious,Dzimis Tsapas
¡Por fin solo!,Carles Sans
El cómico faltoso. Carlos Moreno,Carlos Moreno
Curreles,"Raúl Fervé, Toni Moret, Sofia Squittieri"
Asco y Pena en directo- Un Podcast de Nacho García y Miguel Iríbar,Miguel Iribar
Fran Pati y Mikel Bermejo - MVPs,"Fran Pati, Mikel Bermejo"
Stand Up en el momento,"Diego Daño, Varios Artistas"
Carmen Fresca - Un espectáculo de Carmen Alcayde,Carmen Alcayde
Bhonny Lorenzo presenta Bonifacetico,Bhonny Lorenzo
Isabel Rey.- Diva de Barrio,Isabel Rey
Taka Gómez - Plátano,Taka Gómez
Tabú,David La Cruz
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,"Borja Sumozas, Pilar de Francisco"
Patxi Zubeldia.-  Bestia Parda,Patxi Zubeldia
Alberto Graupera.- No le busques sentido,Alberto Graupera
Juan Moreno - Infame,Juan Moreno
Estoy bien. Esther Gimeno,Esther Gimeno
Borja Manjón. Poca cosa.,Borja Manjón
El Ahorcado Open Mic,rotativo
Nico Lozano. Borderline Golfo Edition.,Nico Lozano
No me puedo quejar,juanma duplay
Jaja Party - Presentado por Javi Durán,Javi Durán
Quique Matilla - Vastante vien,Quique Matilla
"Nayra Pérez presenta Por mí, ya estaría",Nayra Pérez
100% Risas y Humor - Mancheguito,Marce Gonzalez
Summertime,varios
Ganso: un show de Edu J,Edu J
Menuda Pájara - Carmen Alcayde,Carmen Alcayde
"Manu ""El Gamba"" en Platea",Manu el Gamba
Traficante de Risas - Boira Sigue Vivo!!!,Albert Boira
Funny hour open mic,rotativo
Rodrigo Marques - Estamos vivos,Rodrigo Marques
