show,tipo,precio,duracion,artista,local,nota,opiniones
Javi Durán - Fracashow en Beer Station,show,14.0,60.0,javi durán,Beer Station,9.2,136.0
Un Monólogo de Puta Madre - Juan Morales,show,10.0,60.0,juan morales,Teatro de las Aguas,9.6,77.0
Predicadores de la impro,show,10.0,70.0,david carrascosa,Teatro de las Aguas,9.8,310.0
Predicadores de la impro,show,10.0,70.0, dani jota,Teatro de las Aguas,9.8,310.0
Predicadores de la impro,show,10.0,70.0, mercuria teatro,Teatro de las Aguas,9.8,310.0
Laura del Val- De Burgos también se sale,show,11.0,70.0,laura del val,El Golfo Comedy Club,9.7,75.0
"Alicia Lobo - Hola, no me líes",show,9.6,70.0,alicia lobo,Cinesa Fuencarral,10.0,20.0
Mangos y Papayas: Ivan Perlaza & Javi Bueno,show,10.0,70.0,javi bueno,El Sombrerero Comedy Club,9.8,43.0
Mangos y Papayas: Ivan Perlaza & Javi Bueno,show,10.0,70.0, iván perlaza,El Sombrerero Comedy Club,9.8,43.0
Goloso de Micro.,show,10.0,120.0,diego daño,El Golfo Comedy Club,9.1,125.0
Goloso de Micro.,show,10.0,120.0, eva soriano,El Golfo Comedy Club,9.1,125.0
Goloso de Micro.,show,10.0,120.0, nacho garcía,El Golfo Comedy Club,9.1,125.0
Yo maté al Rey León - Dani Delacámara,show,10.0,90.0,dani delacámara,Cinesa Fuencarral,9.5,359.0
Alex Gozalo. Tiempos confusos.,show,12.0,70.0,alex gozalo,El Golfo Comedy Club,9.5,23.0
De Albacete al fin del mundo - Rubén Faura,show,8.0,60.0,rubén faura,Estación Malasaña,9.7,275.0
Manu Partida. Gafe.,show,12.0,70.0,manu partida,El Golfo Comedy Club,9.8,44.0
Rita Rojo.- ¡¿A quién no le va a gustar?!,show,11.0,70.0,rita rojo,El Golfo Comedy Club,9.9,24.0
"Isabel Rey - Diva de barrio, un show de comedia",show,10.0,60.0,isabel rey,Beer Station,9.8,28.0
Fran Pati: Moder-No,show,11.0,70.0,fran pati,El Golfo Comedy Club,9.7,112.0
"Nene, ¡Que me jodan! , un monólogo muy jodido",show,12.0,70.0,nene,Beer Station,9.3,32.0
Felipe Mateos. El odio viene en frascos pequeños.,show,11.0,70.0,felipe mateos,El Golfo Comedy Club,9.7,52.0
Tiquismiquis - Mikel Bermejo,show,15.0,60.0,mikel bermejo,Teatro Arlequín Gran Vía,9.6,199.0
"No es fácil ser fácil, de Silvia De Frente",show,12.0,70.0,silvia de frente,El Golfo Comedy Club,9.8,74.0
El Dojo Comedia,show,8.0,70.0,edu halmoguera,El Golfo Comedy Club,9.6,150.0
El Dojo Comedia,show,8.0,70.0, varios artistas,El Golfo Comedy Club,9.6,150.0
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0,archie bezos,Teatro Chocita del Loro - Carabanchel,8.9,5208.0
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0, richard salamanca,Teatro Chocita del Loro - Carabanchel,8.9,5208.0
Un mancheguico por Madrid. Marce González,show,10.0,60.0,merce gonzalez,Teatro de las Aguas,9.6,72.0
Ilusión. Javier Del Mar,show,10.0,60.0,javier del mar,Teatro de las Aguas,9.1,20.0
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,show,11.0,60.0,carlos suárez iria parada,Beer Station,9.6,29.0
Coria Castillo con Nací princesa porque zorras sobraban,show,14.0,75.0,coria castillo,Beer Station,9.5,414.0
Luis Álvaro - El espectáculo,show,12.0,75.0,luis álvaro,Beer Station,9.0,186.0
Impro-Monologos,show,8.0,60.0,enrique el grande,Clandestino Café Teatro,9.6,20.0
